Id,Label
BWN ,BWN 
MDP ,MDP 
ARA ,ARA 
BXR ,BXR 
MOTH,MOTH
BWR ,BWR 
NEW ,NEW 
BTX ,BTX 
KLAR,KLAR
KHU ,KHU 
BTKP,BTKP
BRG ,BRG 
DSS ,DSS 
KRBP,KRBP
DOL ,DOL 
BNR ,BNR 
SAI ,SAI 
DDA ,DDA 
BTK ,BTK 
BHTR,BHTR
GB  ,GB  
SWA ,SWA 
MSW ,MSW 
CLJ ,CLJ 
BUW ,BUW 
PMN ,PMN 
LLR ,LLR 
INDB,INDB
MGG ,MGG 
DWX ,DWX 
NRGR,NRGR
ANKX,ANKX
RGO ,RGO 
LSR ,LSR 
PTU ,PTU 
SELU,SELU
BMF ,BMF 
KATL,KATL
MTY ,MTY 
BUDI,BUDI
MLGH,MLGH
COR ,COR 
JOB ,JOB 
KKU ,KKU 
MUE ,MUE 
UMRI,UMRI
DAB ,DAB 
BSX ,BSX 
NZB ,NZB 
REWA,REWA
KTES,KTES
BRS ,BRS 
BUH ,BUH 
KTMA,KTMA
BJRI,BJRI
BRH ,BRH 
KTO ,KTO 
BSPR,BSPR
ABKP,ABKP
GRO ,GRO 
SQL ,SQL 
BGTA,BGTA
GMD ,GMD 
BKH ,BKH 
SCKR,SCKR
BNE ,BNE 
KKB ,KKB 
BMR ,BMR 
BHTN,BHTN
BRGT,BRGT
DOE ,DOE 
GSPR,GSPR
REI ,REI 
SYA ,SYA 
MKRN,MKRN
NOI ,NOI 
JRK ,JRK 
KAH ,KAH 
BET ,BET 
SMT ,SMT 
NRPD,NRPD
PKD ,PKD 
GBD ,GBD 
DBU ,DBU 
YNK ,YNK 
SNF ,SNF 
LPI ,LPI 
SKP ,SKP 
VKB ,VKB 
NAW ,NAW 
KQT ,KQT 
MQR ,MQR 
CT  ,CT  
NSL ,NSL 
MVO ,MVO 
BOKR,BOKR
HEM ,HEM 
SHSK,SHSK
PMKT,PMKT
LNT ,LNT 
KAYR,KAYR
WANI,WANI
WRR ,WRR 
HGT ,HGT 
AMI ,AMI 
TVL ,TVL 
BSRX,BSRX
LMT ,LMT 
BGK ,BGK 
GED ,GED 
BDM ,BDM 
HLAR,HLAR
MLP ,MLP 
BLR ,BLR 
HBL ,HBL 
NGR ,NGR 
KHBJ,KHBJ
BEHR,BEHR
MWJ ,MWJ 
SGAM,SGAM
SGRL,SGRL
OBR ,OBR 
CPU ,CPU 
RNQ ,RNQ 
DXN ,DXN 
WDM ,WDM 
NUQ ,NUQ 
GHQ ,GHQ 
GHD ,GHD 
DTO ,DTO 
BRWD,BRWD
CPDR,CPDR
LTHR,LTHR
TORI,TORI
MGME,MGME
KLRE,KLRE
RAY ,RAY 
PTRU,PTRU
BRKA,BRKA
RRME,RRME
CNPR,CNPR
GMIA,GMIA
BKRO,BKRO
BRMO,BRMO
PUS ,PUS 
BHME,BHME
CRP ,CRP 
KTH ,KTH 
KMME,KMME
ULT ,ULT 
RNG ,RNG 
BRR ,BRR 
OKA ,OKA 
DKZ ,DKZ 
SSB ,SSB 
BGZ ,BGZ 
SFM ,SFM 
SAG ,SAG 
SBD ,SBD 
UDR ,UDR 
NDB ,NDB 
SMNH,SMNH
MLHA,MLHA
JLR ,JLR 
VRR ,VRR 
BKNG,BKNG
THAN,THAN
MHD ,MHD 
DRL ,DRL 
MGN ,MGN 
KUH ,KUH 
TAN ,TAN 
KSH ,KSH 
AKD ,AKD 
KPP ,KPP 
PRB ,PRB 
BIH ,BIH 
MFQ ,MFQ 
VST ,VST 
NWB ,NWB 
BRGW,BRGW
MNV ,MNV 
ASKN,ASKN
SFW ,SFW 
JKE ,JKE 
ETW ,ETW 
TDL ,TDL 
ALJN,ALJN
KLK ,KLK 
BCT ,BCT 
AWR ,AWR 
ANVR,ANVR
DDN ,DDN 
BKSC,BKSC
MURI,MURI
GATD,GATD
RNC ,RNC 
GTS ,GTS 
TATA,TATA
SINI,SINI
CBSA,CBSA
DPS ,DPS 
NOMD,NOMD
BJMD,BJMD
BBN ,BBN 
JMT ,JMT 
JMU ,JMU 
GADJ,GADJ
AF  ,AF  
TUN ,TUN 
KGM ,KGM 
HDW ,HDW 
LKU ,LKU 
RUPC,RUPC
RMU ,RMU 
DKAE,DKAE
BHP ,BHP 
NFK ,NFK 
JGN ,JGN 
MOGA,MOGA
MSZ ,MSZ 
BTI ,BTI 
TKJ ,TKJ 
DBD ,DBD 
SASN,SASN
KART,KART
ANSB,ANSB
UHL ,UHL 
MRND,MRND
PTNR,PTNR
JTTN,JTTN
RIG ,RIG 
KHS ,KHS 
SKT ,SKT 
BUA ,BUA 
CPH ,CPH 
NIA ,NIA 
AKT ,AKT 
TLD ,TLD 
DGG ,DGG 
JER ,JER 
SORO,SORO
FK  ,FK  
AFK ,AFK 
SRTL,SRTL
ALLP,ALLP
VAK ,VAK 
TVC ,TVC 
SPE ,SPE 
BDJ ,BDJ 
MVLK,MVLK
KMU ,KMU 
TJ  ,TJ  
IGU ,IGU 
NR  ,NR  
SNSI,SNSI
BYNR,BYNR
SL  ,SL  
BRZ ,BRZ 
BLZ ,BLZ 
MAUR,MAUR
GNA ,GNA 
GJUT,GJUT
KKP ,KKP 
FDK ,FDK 
FZR ,FZR 
BPK ,BPK 
SNN ,SNN 
NGI ,NGI 
CKNI,CKNI
BUX ,BUX 
TAE ,TAE 
CD  ,CD  
BUPH,BUPH
GNVR,GNVR
NHH ,NHH 
MFKA,MFKA
MSMD,MSMD
KRAR,KRAR
KBJ ,KBJ 
BUDM,BUDM
SBPD,SBPD
ANGL,ANGL
TLHR,TLHR
DNKL,DNKL
NRG ,NRG 
JEP ,JEP 
NMP ,NMP 
GKL ,GKL 
TMT ,TMT 
GMO ,GMO 
KID ,KID 
PNK ,PNK 
RURA,RURA
JJK ,JJK 
PHD ,PHD 
SKB ,SKB 
FZD ,FZD 
CAG ,CAG 
BAZ ,BAZ 
ATH ,ATH 
CKB ,CKB 
ISA ,ISA 
MJG ,MJG 
KRNT,KRNT
GWD ,GWD 
MBNR,MBNR
KCG ,KCG 
MJF ,MJF 
RDM ,RDM 
SKZR,SKZR
IDH ,IDH 
AH  ,AH  
NBI ,NBI 
KL  ,KL  
MURD,MURD
BKI ,BKI 
DO  ,DO  
GTJT,GTJT
BDWS,BDWS
KLRS,KLRS
ANKL,ANKL
BIJR,BIJR
SHC ,SHC 
SBV ,SBV 
KGG ,KGG 
BGS ,BGS 
HRI ,HRI 
BLQR,BLQR
LRJ ,LRJ 
BMKI,BMKI
SGL ,SGL 
BTH ,BTH 
NKE ,NKE 
RNN ,RNN 
SUH ,SUH 
LPNR,LPNR
GNC ,GNC 
MLPR,MLPR
ABP ,ABP 
AY  ,AY  
RDL ,RDL 
HPU ,HPU 
DPR ,DPR 
NGG ,NGG 
NBD ,NBD 
JUDW,JUDW
MRHT,MRHT
KIR ,KIR 
SNL ,SNL 
CAF ,CAF 
MME ,MME 
NAB ,NAB 
WSA ,WSA 
SNV ,SNV 
KRBA,KRBA
GPT ,GPT 
CGY ,CGY 
SDAH,SDAH
DDJ ,DDJ 
BRAG,BRAG
ATMO,ATMO
DSNI,DSNI
BAE ,BAE 
WJR ,WJR 
AUBR,AUBR
FTP ,FTP 
HZD ,HZD 
HRS ,HRS 
KRJ ,KRJ 
CNDM,CNDM
FBD ,FBD 
KSJ ,KSJ 
PAN ,PAN 
JOP ,JOP 
BTA ,BTA 
BEA ,BEA 
RPR ,RPR 
DURE,DURE
DLN ,DLN 
GKH ,GKH 
MNAE,MNAE
OYR ,OYR 
STN ,STN 
ABFC,ABFC
BLK ,BLK 
MOP ,MOP 
JPG ,JPG 
HDB ,HDB 
KQU ,KQU 
PNE ,PNE 
AMP ,AMP 
SNT ,SNT 
MNP ,MNP 
BSQP,BSQP
PWS ,PWS 
JAIS,JAIS
PKR ,PKR 
HCR ,HCR 
JHD ,JHD 
PKA ,PKA 
DAKE,DAKE
KPK ,KPK 
RFJ ,RFJ 
NH  ,NH  
BDC ,BDC 
RGD ,RGD 
SILO,SILO
NLD ,NLD 
POE ,POE 
BEHS,BEHS
WENA,WENA
HRT ,HRT 
GMR ,GMR 
GRRU,GRRU
KTQ ,KTQ 
CDMR,CDMR
IPR ,IPR 
EKR ,EKR 
HIL ,HIL 
DNWH,DNWH
ZNA ,ZNA 
SFG ,SFG 
JAB ,JAB 
AGA ,AGA 
GDO ,GDO 
DEEG,DEEG
NMDA,NMDA
RHG ,RHG 
KRH ,KRH 
GHH ,GHH 
MEP ,MEP 
