id,label,weight,modularity_class,componentnumber
'12212',MFP GARIB RATH ,0.555555556,0,0
'12064',UHL HW LINK JSH,1.25,0,0
'15049',KOAA  GKP  EXP ,2,0,0
'15048',PURVANCHAL EXP ,0.212765957,0,0
'28182',KIR TATA LNK EX,1.25,0,0
'12211',ANVT GARIB RATH,0.555555556,0,0
'16573',PUDUCHERRY EXP ,1.666666667,17,0
'12066',AII JAN SHATABD,1,53,0
'12067',JAN SHATABDI EX,2.5,0,0
'15640',GHY PURI EXPRES,10,10,0
'22478',JP JU SF EXP   ,0.588235294,53,0
'22479',JSM BKN EXPRESS,5,53,0
'22471',DEE INTERCITY  ,2.5,53,0
'22472',BKN INTERCITY  ,2.5,53,0
'22473',BKN BDTS SF EXP,0.416666667,53,0
'22474',BDTS BKN SUP EX,0.416666667,53,0
'22475',BKN CBE AC S F ,0.434782609,53,0
'22476',BIKANER AC EXP ,0.434782609,53,0
'22477',JU JP SF EXP   ,0.588235294,53,0
'07324',UBL MAS EXP    ,0.714285714,17,0
'07323',MAS HUBLI EXP  ,0.714285714,17,0
'22679',SVDK PREMIUM EX,0.52631579,49,0
'19418',ALD ADI EXP    ,0.25,53,0
'19419',MAS ADI EXPRESS,0.4,53,0
'19410',GKP ADI EXP    ,5,53,0
'19411',AJMER INTERCITY,0.416666667,53,0
'19412',INTERCITY EXP  ,0.416666667,53,0
'19413',KOLKATA EXPRESS,1.25,53,0
'19414',KOAA ADI EXPRES,1.25,53,0
'19415',ADI SVDK EXPRES,1.666666667,53,0
'19416',SVDK ADI EXP   ,1.666666667,53,0
'19417',ADI ALD EXPRESS,0.25,53,0
'12712',PINAKINI EXP   ,0.416666667,10,0
'12713',SATAVAHANA EXP ,0.5,10,0
'12710',SIMHAPURI EXP  ,1.666666667,10,0
'12711',PINAKINI EXP   ,0.416666667,10,0
'12716',ASR NED EXPRESS,0.322580645,49,0
'12717',RATNACHALAM EXP,1,10,0
'12714',SATAVAHANA EXP ,0.5,10,0
'12715',SACHKHAND EXP  ,0.322580645,49,0
'12718',RATNACHAL EXP  ,1,10,0
'12719',AII HYB SF EXP ,0.833333333,49,0
'19301',YESHVANTPUR EXP,2.5,49,0
'14645',SHALIMAR EXP   ,2.5,0,0
'19707',ARAVALI EXPRESS,3.333333333,53,0
'56136',MTP UAM PASSR  ,5,17,0
'56137',UAM MTP PASSR  ,5,17,0
'56138',ONR UAM PASSR  ,2.5,1,1
'56139',UAM ONR PASSR  ,2.5,2,2
'19708',ARAVALI EXPRESS,3.333333333,53,0
